"lambs, usual",usual,"lambs, direct full",direct full,"lambs, blue sky",blue sky,"lambs, clouded",clouded
,,,,680.3927242,35.29752191,633.7324122,88.73486965
,,,,686.1035875,31.67645038,637.6273141,90.43423497
,,,,689.4087009,29.97197866,640.6266822,90.64487371
,,,,693.0099851,29.54389265,643.9286041,90.00423405
,,,,697.8080804,30.17878761,654.1343705,88.0821023
,,,,700,30.17729825,657.7369314,87.22848346
,,,,,,660.7362994,87.43912221
,,,,,,667.6273779,90.41295833
,,,,,,670.6235545,91.68742912
,,,,,,674.5248394,91.25913034
,,,,,,678.4293158,89.7669995
,,,,,,682.3357071,87.63656944
,,,,,,686.5478437,83.59102892
,,,,,,689.2548708,81.24868351
,,,,,,691.6587057,79.97038292
,,,,,,696.1574386,80.39272424
,,,,,,698.2561665,80.8167677
,,,,,,700,79.75144628
